k1             a1             c1             k2             a2             c2             k3             a3             c3             gamma1         gamma2         LogPost        b1             b2             b3             
   0.186558E+00   0.420764E+01   0.150506E+01   0.344491E+00   0.127688E+02   0.167445E+01   0.929525E+00   0.177739E+02   0.167632E+01   0.683746E-02   0.336443E-01   0.697469E+02   0.186558E+00   0.246398E+00   0.929525E+00
   0.174707E+00   0.336563E+01   0.147462E+01   0.339757E+00   0.139052E+02   0.171453E+01   0.947395E+00   0.163862E+02   0.172277E+01   0.323635E-02   0.671788E-01   0.650766E+02   0.174707E+00   0.246915E+00   0.947395E+00
   0.166592E+00   0.311617E+01   0.152528E+01    0.31678E+00   0.117042E+02   0.169118E+01   0.978631E+00   0.125518E+02   0.169052E+01   0.164531E-02   0.455235E-01   0.716255E+02   0.166592E+00   0.234067E+00   0.978631E+00
   0.162837E+00   0.332219E+01   0.156545E+01   0.327364E+00    0.12209E+02    0.16501E+01   0.904213E+00   0.139133E+02   0.166851E+01   0.408309E-02   0.383135E-01   0.679347E+02   0.162837E+00   0.245351E+00   0.904213E+00
   0.173639E+00   0.401066E+01   0.155646E+01   0.340904E+00   0.114806E+02   0.168413E+01   0.937118E+00   0.155222E+02   0.167282E+01   0.311488E-02   0.491026E-01   0.662901E+02   0.173639E+00   0.238322E+00   0.937118E+00
   0.170147E+00   0.356303E+01   0.154805E+01   0.321923E+00   0.107688E+02   0.165283E+01   0.987483E+00   0.176275E+02   0.169411E+01   0.364549E-02   0.682236E-01   0.667465E+02   0.170147E+00   0.234326E+00   0.987483E+00
   0.164983E+00   0.321528E+01   0.154637E+01   0.312387E+00   0.112513E+02   0.169498E+01   0.859055E+00   0.103712E+02   0.166819E+01   0.224345E-02   0.616258E-01   0.696063E+02   0.164983E+00    0.22912E+00   0.859055E+00
   0.180698E+00   0.373356E+01   0.148237E+01   0.326759E+00   0.109169E+02   0.162813E+01   0.939775E+00   0.119985E+02   0.164348E+01   0.615918E-02   0.558896E-01    0.65103E+02   0.180698E+00   0.236991E+00   0.939775E+00
   0.182148E+00   0.366882E+01    0.14658E+01   0.339988E+00   0.127831E+02   0.170479E+01   0.844048E+00   0.140032E+02   0.167149E+01   0.525781E-02   0.274587E-01   0.683514E+02   0.182148E+00   0.241671E+00   0.844048E+00
   0.179609E+00   0.359213E+01   0.148425E+01    0.33881E+00   0.129166E+02   0.166418E+01   0.852275E+00   0.841124E+01    0.16812E+01   0.107073E-01   0.311193E-02   0.665901E+02   0.179609E+00   0.248808E+00   0.852275E+00
